theta_t,theta_l,eta
-90.0,0.0,0.0
-90.0,5.0,0.0
-90.0,10.0,0.0
-90.0,15.0,0.0
-90.0,20.0,0.0
-90.0,25.0,0.0
-90.0,30.0,0.0
-90.0,35.0,0.0
-90.0,40.0,0.0
-90.0,45.0,0.0
-90.0,50.0,0.0
-90.0,55.0,0.0
-90.0,60.0,0.0
-90.0,65.0,0.0
-90.0,70.0,0.0
-90.0,75.0,0.0
-90.0,80.0,0.0
-90.0,85.0,0.0
-90.0,90.0,0.0
-85.0,0.0,0.1525543205504638
-85.0,5.0,0.1524914421093616
-85.0,10.0,0.15239886879370362
-85.0,15.0,0.15227952691167126
-85.0,20.0,0.1521524167154738
-85.0,25.0,0.15200602849119255
-85.0,30.0,0.15182354989990854
-85.0,35.0,0.15160756425342595
-85.0,40.0,0.1513395807262873
-85.0,45.0,0.15100891201794087
-85.0,50.0,0.15055765509787647
-85.0,55.0,0.14996324374651637
-85.0,60.0,0.1491230434320528
-85.0,65.0,0.14784936883822056
-85.0,70.0,0.1457025650076759
-85.0,75.0,0.1414891602318698
-85.0,80.0,0.13160118508913268
-85.0,85.0,0.0
-85.0,90.0,0.0
-80.0,0.0,0.2410040949190368
-80.0,5.0,0.24072096162753862
-80.0,10.0,0.24031101060487567
-80.0,15.0,0.23985562863706647
-80.0,20.0,0.23928176571708287
-80.0,25.0,0.23859845680935912
-80.0,30.0,0.2377212091841776
-80.0,35.0,0.23672713338647278
-80.0,40.0,0.23535719804200675
-80.0,45.0,0.2337129987460028
-80.0,50.0,0.23160449004683525
-80.0,55.0,0.2286016886511875
-80.0,60.0,0.22441424684176248
-80.0,65.0,0.21818304986329806
-80.0,70.0,0.20807702212560217
-80.0,75.0,0.19025979811358418
-80.0,80.0,0.1564204066240159
-80.0,85.0,0.0
-80.0,90.0,0.0
-75.0,0.0,0.32842782942440407
-75.0,5.0,0.32764521460809953
-75.0,10.0,0.3266361290080344
-75.0,15.0,0.32544591578409465
-75.0,20.0,0.32394570117602456
-75.0,25.0,0.32224559256556845
