theta_t,theta_l,eta
-90.0,0.0,0.0
-90.0,5.0,0.0
-90.0,10.0,0.0
-90.0,15.0,0.0
-90.0,20.0,0.0
-90.0,25.0,0.0
-90.0,30.0,0.0
-90.0,35.0,0.0
-90.0,40.0,0.0
-90.0,45.0,0.0
-90.0,50.0,0.0
-90.0,55.0,0.0
-90.0,60.0,0.0
-90.0,65.0,0.0
-90.0,70.0,0.0
-90.0,75.0,0.0
-90.0,80.0,0.0
-90.0,85.0,0.0
-90.0,90.0,0.0
-85.0,0.0,0.1559802161397983
-85.0,5.0,0.1559848108007795
-85.0,10.0,0.1559827117283743
-85.0,15.0,0.15597330861816425
-85.0,20.0,0.15595540307592212
-85.0,25.0,0.15592701208273432
-85.0,30.0,0.15589215853759167
-85.0,35.0,0.15583577927455397
-85.0,40.0,0.15574988510144372
-85.0,45.0,0.1556164314249743
-85.0,50.0,0.15539883290899292
-85.0,55.0,0.15505489397340513
-85.0,60.0,0.15452945295688056
-85.0,65.0,0.1536736300799578
-85.0,70.0,0.1521191187778735
-85.0,75.0,0.1488760485860254
-85.0,80.0,0.14056167535984992
-85.0,85.0,0.11148144818933603
-85.0,90.0,0.0
-80.0,0.0,0.24516699501518419
-80.0,5.0,0.2448497565620562
-80.0,10.0,0.24446842834838592
-80.0,15.0,0.24401316602306994
-80.0,20.0,0.24346925110067116
-80.0,25.0,0.24281540753025513
-80.0,30.0,0.2420210281061202
-80.0,35.0,0.2410416107443187
-80.0,40.0,0.23979758217802596
-80.0,45.0,0.238186650194992
-80.0,50.0,0.2360365154426856
-80.0,55.0,0.23312720257050634
-80.0,60.0,0.2289678692585269
-80.0,65.0,0.22269182977852606
-80.0,70.0,0.2126025224835208
-80.0,75.0,0.19495238815014962
-80.0,80.0,0.1609824306764937
-80.0,85.0,0.09317398151435058
-80.0,90.0,0.0
-75.0,0.0,0.3329937972504274
-75.0,5.0,0.3321897447924199
-75.0,10.0,0.3312045185468239
-75.0,15.0,0.3300150518803054
-75.0,20.0,0.3285837989201796
