theta_t,theta_l,eta
-90.0,0.0,0.0
-90.0,5.0,0.0
-90.0,10.0,0.0
-90.0,15.0,0.0
-90.0,20.0,0.0
-90.0,25.0,0.0
-90.0,30.0,0.0
-90.0,35.0,0.0
-90.0,40.0,0.0
-90.0,45.0,0.0
-90.0,50.0,0.0
-90.0,55.0,0.0
-90.0,60.0,0.0
-90.0,65.0,0.0
-90.0,70.0,0.0
-90.0,75.0,0.0
-90.0,80.0,0.0
-90.0,85.0,0.0
-90.0,90.0,0.0
-85.0,0.0,0.13737316871320085
-85.0,5.0,0.13728263725327572
-85.0,10.0,0.13712872388474395
-85.0,15.0,0.13694032932192568
-85.0,20.0,0.1367655966333055
-85.0,25.0,0.1365390982872245
-85.0,30.0,0.136297735680699
-85.0,35.0,0.13600380908961213
-85.0,40.0,0.13559372681558235
-85.0,45.0,0.1351310795948052
-85.0,50.0,0.13456216811445723
-85.0,55.0,0.13380055339972974
-85.0,60.0,0.13281189901728851
-85.0,65.0,0.1312725783523285
-85.0,70.0,0.12869253374105713
-85.0,75.0,0.12396708040177674
-85.0,80.0,0.11348450273913936
-85.0,85.0,0.08185294150226416
-85.0,90.0,0.0
-80.0,0.0,0.2554276767999531
-80.0,5.0,0.2546287989732581
-80.0,10.0,0.25365464781303504
-80.0,15.0,0.25257788036243006
-80.0,20.0,0.2513479689547653
-80.0,25.0,0.25002274843427624
-80.0,30.0,0.2484244542849067
-80.0,35.0,0.24661975942676198
-80.0,40.0,0.24439091646147637
-80.0,45.0,0.2418531091638702
-80.0,50.0,0.23844482717248797
-80.0,55.0,0.23401753713620965
-80.0,60.0,0.22788387916852007
-80.0,65.0,0.21896323234214918
-80.0,70.0,0.20534418545631553
-80.0,75.0,0.18249767843457287
-80.0,80.0,0.14070589702302538
-80.0,85.0,0.06175064506366871
-80.0,90.0,0.0
-75.0,0.0,0.37233840485008807
-75.0,5.0,0.3702128953396746
-75.0,10.0,0.3677576248953099
-75.0,15.0,0.3649963637580842
-75.0,20.0,0.361922090259129
