theta_t,theta_l,eta
-90.0,0.0,0.0
-90.0,5.0,0.0
-90.0,10.0,0.0
-90.0,15.0,0.0
-90.0,20.0,0.0
-90.0,25.0,0.0
-90.0,30.0,0.0
-90.0,35.0,0.0
-90.0,40.0,0.0
-90.0,45.0,0.0
-90.0,50.0,0.0
-90.0,55.0,0.0
-90.0,60.0,0.0
-90.0,65.0,0.0
-90.0,70.0,0.0
-90.0,75.0,0.0
-90.0,80.0,0.0
-90.0,85.0,0.0
-90.0,90.0,0.0
-85.0,0.0,0.15249932460085236
-85.0,5.0,0.152409958065721
-85.0,10.0,0.15229868413956896
-85.0,15.0,0.15218423225300595
-85.0,20.0,0.15204071906545788
-85.0,25.0,0.15192031853572024
-85.0,30.0,0.1517104931104188
-85.0,35.0,0.15152027576930083
-85.0,40.0,0.15122432158267868
-85.0,45.0,0.150895307449072
-85.0,50.0,0.15046137687474861
-85.0,55.0,0.14992106855486875
-85.0,60.0,0.14911511182525317
-85.0,65.0,0.14788396251092195
-85.0,70.0,0.14568083869923212
-85.0,75.0,0.1415475434260141
-85.0,80.0,0.13178319761828894
-85.0,85.0,0.0
-85.0,90.0,0.0
-80.0,0.0,0.2414583930736322
-80.0,5.0,0.241066315920401
-80.0,10.0,0.2406839196727694
-80.0,15.0,0.24024517285651584
-80.0,20.0,0.23960851062882735
-80.0,25.0,0.23893636201629775
-80.0,30.0,0.2380967273698836
-80.0,35.0,0.2370777952436149
-80.0,40.0,0.23574301834351946
-80.0,45.0,0.23410937486499903
-80.0,50.0,0.2320235860803314
-80.0,55.0,0.2291012044465519
-80.0,60.0,0.22492824616404594
-80.0,65.0,0.21859083323053796
-80.0,70.0,0.20843240599887464
-80.0,75.0,0.19062389459958543
-80.0,80.0,0.15671569389868478
-80.0,85.0,0.0
-80.0,90.0,0.0
-75.0,0.0,0.32875347515745224
-75.0,5.0,0.32793198706589793
-75.0,10.0,0.32690439323245407
-75.0,15.0,0.32579809659947306
-75.0,20.0,0.3244263785997978
-75.0,25.0,0.3227472533187372
