theta_t,theta_l,eta
-90.0,0.0,0.0
-90.0,5.0,0.0
-90.0,10.0,0.0
-90.0,15.0,0.0
-90.0,20.0,0.0
-90.0,25.0,0.0
-90.0,30.0,0.0
-90.0,35.0,0.0
-90.0,40.0,0.0
-90.0,45.0,0.0
-90.0,50.0,0.0
-90.0,55.0,0.0
-90.0,60.0,0.0
-90.0,65.0,0.0
-90.0,70.0,0.0
-90.0,75.0,0.0
-90.0,80.0,0.0
-90.0,85.0,0.0
-90.0,90.0,0.0
-85.0,0.0,0.13063860724909804
-85.0,5.0,0.1309075362818622
-85.0,10.0,0.13129010050205334
-85.0,15.0,0.13178243844061865
-85.0,20.0,0.13237585811977234
-85.0,25.0,0.13305717868409114
-85.0,30.0,0.13380901550663862
-85.0,35.0,0.1346108891664735
-85.0,40.0,0.1354404666074047
-85.0,45.0,0.1362754360004338
-85.0,50.0,0.1370947662344378
-85.0,55.0,0.13787725933332814
-85.0,60.0,0.13859337117555806
-85.0,65.0,0.13918042666179714
-85.0,70.0,0.1394683712022519
-85.0,75.0,0.13891257608809018
-85.0,80.0,0.13532774447842116
-85.0,85.0,0.11684773813428713
-85.0,90.0,0.0
-80.0,0.0,0.24592838127341513
-80.0,5.0,0.24539992593207632
-80.0,10.0,0.24497717070805958
-80.0,15.0,0.24463228242327256
-80.0,20.0,0.24432419711689227
-80.0,25.0,0.2439975054295847
-80.0,30.0,0.24358009556674962
-80.0,35.0,0.24297952543397644
-80.0,40.0,0.2420767284310304
-80.0,45.0,0.24071378182807296
-80.0,50.0,0.23866946765093736
-80.0,55.0,0.23560932878542562
-80.0,60.0,0.2309805820578791
-80.0,65.0,0.22378374865824008
-80.0,70.0,0.21204877650972653
-80.0,75.0,0.19157207276080976
-80.0,80.0,0.15298333956558913
-80.0,85.0,0.07819426377295824
-80.0,90.0,0.0
-75.0,0.0,0.36009727028630056
-75.0,5.0,0.35821991323393376
-75.0,10.0,0.3563377108608034
-75.0,15.0,0.35438752483271163
-75.0,20.0,0.3522803823068948
