theta_t,theta_l,eta
-90.0,0.0,0.0
-90.0,5.0,0.0
-90.0,10.0,0.0
-90.0,15.0,0.0
-90.0,20.0,0.0
-90.0,25.0,0.0
-90.0,30.0,0.0
-90.0,35.0,0.0
-90.0,40.0,0.0
-90.0,45.0,0.0
-90.0,50.0,0.0
-90.0,55.0,0.0
-90.0,60.0,0.0
-90.0,65.0,0.0
-90.0,70.0,0.0
-90.0,75.0,0.0
-90.0,80.0,0.0
-90.0,85.0,0.0
-90.0,90.0,0.0
-85.0,0.0,0.15267674823910518
-85.0,5.0,0.15263659859069448
-85.0,10.0,0.15254170765196806
-85.0,15.0,0.15242565030165114
-85.0,20.0,0.15229183439431498
-85.0,25.0,0.15216446011502466
-85.0,30.0,0.15198156261353205
-85.0,35.0,0.15176786838888434
-85.0,40.0,0.1515030417761076
-85.0,45.0,0.15118709400401315
-85.0,50.0,0.15073630487174564
-85.0,55.0,0.150140591037647
-85.0,60.0,0.14931061302887916
-85.0,65.0,0.14801385205933837
-85.0,70.0,0.14584861080123235
-85.0,75.0,0.14155706988200847
-85.0,80.0,0.13162171869245656
-85.0,85.0,0.0
-85.0,90.0,0.0
-80.0,0.0,0.2410631782467376
-80.0,5.0,0.24082171392861676
-80.0,10.0,0.2403907598250206
-80.0,15.0,0.23995491482680822
-80.0,20.0,0.23938414340769815
-80.0,25.0,0.23867470240986194
-80.0,30.0,0.2378160379225386
-80.0,35.0,0.23677704926339066
-80.0,40.0,0.2354918870672984
-80.0,45.0,0.23384093618332202
-80.0,50.0,0.2317428239443334
-80.0,55.0,0.22875936122040705
-80.0,60.0,0.22452160651365363
-80.0,65.0,0.2181838311305998
-80.0,70.0,0.20814518797243725
-80.0,75.0,0.19038051018454477
-80.0,80.0,0.1564907857740437
-80.0,85.0,0.0
-80.0,90.0,0.0
-75.0,0.0,0.32830462054811405
-75.0,5.0,0.3276196570075926
-75.0,10.0,0.3266573942739576
-75.0,15.0,0.3254347949858812
-75.0,20.0,0.323989866439259
-75.0,25.0,0.32225427119352823
