theta_t,theta_l,eta
-90.0,0.0,0.0
-90.0,5.0,0.0
-90.0,10.0,0.0
-90.0,15.0,0.0
-90.0,20.0,0.0
-90.0,25.0,0.0
-90.0,30.0,0.0
-90.0,35.0,0.0
-90.0,40.0,0.0
-90.0,45.0,0.0
-90.0,50.0,0.0
-90.0,55.0,0.0
-90.0,60.0,0.0
-90.0,65.0,0.0
-90.0,70.0,0.0
-90.0,75.0,0.0
-90.0,80.0,0.0
-90.0,85.0,0.0
-90.0,90.0,0.0
-85.0,0.0,0.15598709672901598
-85.0,5.0,0.1559906539521036
-85.0,10.0,0.15598535579993145
-85.0,15.0,0.15597048008757164
-85.0,20.0,0.1559445349828103
-85.0,25.0,0.15590516020053655
-85.0,30.0,0.15584861844609965
-85.0,35.0,0.1557693370607635
-85.0,40.0,0.15565854433518342
-85.0,45.0,0.1555024204643114
-85.0,50.0,0.15527803026212372
-85.0,55.0,0.15494543096827162
-85.0,60.0,0.15442964103390064
-85.0,65.0,0.15357594069543062
-85.0,70.0,0.1520231316453914
-85.0,75.0,0.1487802919208894
-85.0,80.0,0.14045250573294102
-85.0,85.0,0.11137823895187954
-85.0,90.0,0.0
-80.0,0.0,0.2451755590622087
-80.0,5.0,0.2448592464964018
-80.0,10.0,0.24448077157476927
-80.0,15.0,0.2440302438924797
-80.0,20.0,0.2434931158079538
-80.0,25.0,0.24284812758174737
-80.0,30.0,0.24206476399141644
-80.0,35.0,0.2410986302705896
-80.0,40.0,0.23988352322587828
-80.0,45.0,0.23831814206246144
-80.0,50.0,0.23624147897119624
-80.0,55.0,0.2333865882197671
-80.0,60.0,0.22928694130447927
-80.0,65.0,0.22307415889559604
-80.0,70.0,0.21300510195372455
-80.0,75.0,0.19528742659019946
-80.0,80.0,0.16123960385671096
-80.0,85.0,0.09333799066913352
-80.0,90.0,0.0
-75.0,0.0,0.3329077234517264
-75.0,5.0,0.33210199911840044
-75.0,10.0,0.3311112184135904
-75.0,15.0,0.3299097499344257
-75.0,20.0,0.32845858930991023
