theta_t,theta_l,eta
-90.0,0.0,0.0
-90.0,5.0,0.0
-90.0,10.0,0.0
-90.0,15.0,0.0
-90.0,20.0,0.0
-90.0,25.0,0.0
-90.0,30.0,0.0
-90.0,35.0,0.0
-90.0,40.0,0.0
-90.0,45.0,0.0
-90.0,50.0,0.0
-90.0,55.0,0.0
-90.0,60.0,0.0
-90.0,65.0,0.0
-90.0,70.0,0.0
-90.0,75.0,0.0
-90.0,80.0,0.0
-90.0,85.0,0.0
-90.0,90.0,0.0
-85.0,0.0,0.13816368471137713
-85.0,5.0,0.137958087022745
-85.0,10.0,0.13777458558166764
-85.0,15.0,0.13756675578802607
-85.0,20.0,0.13737292077142382
-85.0,25.0,0.13707444462366744
-85.0,30.0,0.13685551042152397
-85.0,35.0,0.13656329276100454
-85.0,40.0,0.13614745363518851
-85.0,45.0,0.1357430696574515
-85.0,50.0,0.1352482135637009
-85.0,55.0,0.13451464001970817
-85.0,60.0,0.13353548381466543
-85.0,65.0,0.13202112681855083
-85.0,70.0,0.12951209199255687
-85.0,75.0,0.12489595522236341
-85.0,80.0,0.1144942251074674
-85.0,85.0,0.08280006811197949
-85.0,90.0,0.0
-80.0,0.0,0.25728055868638045
-80.0,5.0,0.2563274800677348
-80.0,10.0,0.2552919690153675
-80.0,15.0,0.2541743686931023
-80.0,20.0,0.2528693137321903
-80.0,25.0,0.2515867170535712
-80.0,30.0,0.2501157940657352
-80.0,35.0,0.24838105084081646
-80.0,40.0,0.2461268081451678
-80.0,45.0,0.24335035639859662
-80.0,50.0,0.23975594395591757
-80.0,55.0,0.2352800346678032
-80.0,60.0,0.22913871984772902
-80.0,65.0,0.22042436028977022
-80.0,70.0,0.20703106931154547
-80.0,75.0,0.1839536655026594
-80.0,80.0,0.14190737130198766
-80.0,85.0,0.06321193992001736
-80.0,90.0,0.0
-75.0,0.0,0.3747169275708875
-75.0,5.0,0.37253417269988237
-75.0,10.0,0.36998994928015877
-75.0,15.0,0.36705843356932016
-75.0,20.0,0.3640308618222354
