theta_t,theta_l,eta
-90.0,0.0,0.0
-90.0,5.0,0.0
-90.0,10.0,0.0
-90.0,15.0,0.0
-90.0,20.0,0.0
-90.0,25.0,0.0
-90.0,30.0,0.0
-90.0,35.0,0.0
-90.0,40.0,0.0
-90.0,45.0,0.0
-90.0,50.0,0.0
-90.0,55.0,0.0
-90.0,60.0,0.0
-90.0,65.0,0.0
-90.0,70.0,0.0
-90.0,75.0,0.0
-90.0,80.0,0.0
-90.0,85.0,0.0
-90.0,90.0,0.0
-85.0,0.0,0.13727401322971086
-85.0,5.0,0.13748122806403396
-85.0,10.0,0.13768307566740842
-85.0,15.0,0.137882321101048
-85.0,20.0,0.1380811868899456
-85.0,25.0,0.1382821959224294
-85.0,30.0,0.13848731480580337
-85.0,35.0,0.1386986606891228
-85.0,40.0,0.13891929876621778
-85.0,45.0,0.13915270169068975
-85.0,50.0,0.1393944375317497
-85.0,55.0,0.13963911200686735
-85.0,60.0,0.139867999273161
-85.0,65.0,0.14002698006152497
-85.0,70.0,0.1399631206981077
-85.0,75.0,0.1391258916679052
-85.0,80.0,0.13534789182865803
-85.0,85.0,0.11681610726591907
-85.0,90.0,0.0
-80.0,0.0,0.255679740054555
-80.0,5.0,0.255030101809441
-80.0,10.0,0.2543110733202514
-80.0,15.0,0.25350695427130354
-80.0,20.0,0.2525967899966602
-80.0,25.0,0.25155236314474827
-80.0,30.0,0.2503340327316774
-80.0,35.0,0.24888579271990344
-80.0,40.0,0.24712560052356256
-80.0,45.0,0.24492913273313194
-80.0,50.0,0.24210293075064304
-80.0,55.0,0.23833189791937961
-80.0,60.0,0.23307895122017802
-80.0,65.0,0.225347475187083
-80.0,70.0,0.2131703072278442
-80.0,75.0,0.19234290111644486
-80.0,80.0,0.1535063225954202
-80.0,85.0,0.078567394463265
-80.0,90.0,0.0
-75.0,0.0,0.37302206992961373
-75.0,5.0,0.37095296416462975
-75.0,10.0,0.36866034527249786
-75.0,15.0,0.36609845565444765
-75.0,20.0,0.3632047392493974
