theta_t,theta_l,eta
-90.0,0.0,0.0
-90.0,5.0,0.0
-90.0,10.0,0.0
-90.0,15.0,0.0
-90.0,20.0,0.0
-90.0,25.0,0.0
-90.0,30.0,0.0
-90.0,35.0,0.0
-90.0,40.0,0.0
-90.0,45.0,0.0
-90.0,50.0,0.0
-90.0,55.0,0.0
-90.0,60.0,0.0
-90.0,65.0,0.0
-90.0,70.0,0.0
-90.0,75.0,0.0
-90.0,80.0,0.0
-90.0,85.0,0.0
-90.0,90.0,0.0
-85.0,0.0,0.15267409322410325
-85.0,5.0,0.1526338629752018
-85.0,10.0,0.1525467438722608
-85.0,15.0,0.15242493791493975
-85.0,20.0,0.15228957022990167
-85.0,25.0,0.15216344372091672
-85.0,30.0,0.15198151840136745
-85.0,35.0,0.15176607970584674
-85.0,40.0,0.1515056769803037
-85.0,45.0,0.15118309581610334
-85.0,50.0,0.15073098763555634
-85.0,55.0,0.1501391704480792
-85.0,60.0,0.14930744428480955
-85.0,65.0,0.1480185943399977
-85.0,70.0,0.14584933331838804
-85.0,75.0,0.14156107103052512
-85.0,80.0,0.1316203773713646
-85.0,85.0,0.0
-85.0,90.0,0.0
-80.0,0.0,0.24105220113541176
-80.0,5.0,0.2408256394162177
-80.0,10.0,0.24039329397418543
-80.0,15.0,0.2399505529955332
-80.0,20.0,0.2393867427148885
-80.0,25.0,0.23867808087688286
-80.0,30.0,0.2378147586083923
-80.0,35.0,0.23677389936710164
-80.0,40.0,0.2354935556513948
-80.0,45.0,0.23384913688789793
-80.0,50.0,0.23174203585761977
-80.0,55.0,0.22875724651826837
-80.0,60.0,0.2245186465965352
-80.0,65.0,0.21818931338863795
-80.0,70.0,0.20814433123346548
-80.0,75.0,0.19036570757377183
-80.0,80.0,0.15649565129029266
-80.0,85.0,0.0
-80.0,90.0,0.0
-75.0,0.0,0.32827904552294157
-75.0,5.0,0.32762094863920843
-75.0,10.0,0.32665937071957596
-75.0,15.0,0.32541972947599834
-75.0,20.0,0.32399678837609563
-75.0,25.0,0.32225409374564623
