theta_t,theta_l,eta
-90.0,0.0,0.0
-90.0,5.0,0.0
-90.0,10.0,0.0
-90.0,15.0,0.0
-90.0,20.0,0.0
-90.0,25.0,0.0
-90.0,30.0,0.0
-90.0,35.0,0.0
-90.0,40.0,0.0
-90.0,45.0,0.0
-90.0,50.0,0.0
-90.0,55.0,0.0
-90.0,60.0,0.0
-90.0,65.0,0.0
-90.0,70.0,0.0
-90.0,75.0,0.0
-90.0,80.0,0.0
-90.0,85.0,0.0
-90.0,90.0,0.0
-85.0,0.0,0.13129747471002276
-85.0,5.0,0.13156102991786703
-85.0,10.0,0.13192670201881732
-85.0,15.0,0.13239097106519093
-85.0,20.0,0.13294585292580843
-85.0,25.0,0.13357933845693076
-85.0,30.0,0.1342758078623436
-85.0,35.0,0.13501721708690861
-85.0,40.0,0.13578425667550365
-85.0,45.0,0.1365579213593193
-85.0,50.0,0.13732018529235562
-85.0,55.0,0.13805186842662837
-85.0,60.0,0.13872408799781275
-85.0,65.0,0.1392737895139203
-85.0,70.0,0.1395304792291398
-85.0,75.0,0.1389498405709465
-85.0,80.0,0.1353466877448299
-85.0,85.0,0.11685583194651865
-85.0,90.0,0.0
-80.0,0.0,0.2469474453199877
-80.0,5.0,0.24640632545303662
-80.0,10.0,0.2459518688221887
-80.0,15.0,0.2455572643580781
-80.0,20.0,0.2451831691669939
-80.0,25.0,0.24477667067296094
-80.0,30.0,0.24426902076343973
-80.0,35.0,0.24357197402511846
-80.0,40.0,0.2425713023334829
-80.0,45.0,0.24111412298554516
-80.0,50.0,0.23898378491583047
-80.0,55.0,0.23584912285943357
-80.0,60.0,0.23115874661755825
-80.0,65.0,0.223912628521458
-80.0,70.0,0.21213903749921315
-80.0,75.0,0.19163301796143348
-80.0,80.0,0.15302416050443707
-80.0,85.0,0.07822383792872704
-80.0,90.0,0.0
-75.0,0.0,0.3614616302433192
-75.0,5.0,0.3595638323590385
-75.0,10.0,0.3576372013876158
-75.0,15.0,0.3556201483771835
-75.0,20.0,0.35342614127173716
