theta_t,theta_l,eta
0.0,0.0,0.9474241267232106
0.0,5.0,0.9199063190155596
0.0,10.0,0.8849565658879165
0.0,15.0,0.8428422898635484
0.0,20.0,0.7938632530083266
0.0,25.0,0.7383535692996208
0.0,30.0,0.6766850819429211
0.0,35.0,0.6092766479858946
0.0,40.0,0.5366142976588917
0.0,45.0,0.45929522093308817
0.0,50.0,0.3781190316670738
0.0,55.0,0.29427360236440453
0.0,60.0,0.20968851692381957
0.0,65.0,0.12753211909250634
0.0,70.0,0.05267442865622817
0.0,75.0,0.004944355627557996
0.0,80.0,0.0
0.0,85.0,0.0
0.0,90.0,0.0
5.0,0.0,0.9221763156038939
5.0,5.0,0.8959235527990791
5.0,10.0,0.8624934543970318
5.0,15.0,0.8221299678909552
5.0,20.0,0.7751052710581459
5.0,25.0,0.7217224130973429
5.0,30.0,0.6623196689292582
5.0,35.0,0.5972799002091376
5.0,40.0,0.5270508583173582
5.0,45.0,0.45218742452391136
5.0,50.0,0.37343940557773403
5.0,55.0,0.29192962785129134
5.0,60.0,0.2094945293206893
5.0,65.0,0.12891118911408508
5.0,70.0,0.05366657471681651
5.0,75.0,0.005211312004740389
5.0,80.0,0.0
5.0,85.0,0.0
5.0,90.0,0.0
10.0,0.0,0.9276922051449853
10.0,5.0,0.9014951405554041
10.0,10.0,0.8682352659612539
10.0,15.0,0.8281304912928069
10.0,20.0,0.7814200424523617
10.0,25.0,0.7283686136473956
10.0,30.0,0.6692725044131091
10.0,35.0,0.6044705460040468
10.0,40.0,0.5343647333722342
10.0,45.0,0.4594612271271949
10.0,50.0,0.3804537594917965
10.0,55.0,0.2983945812187931
10.0,60.0,0.21503159064635233
10.0,65.0,0.1330812838717889
10.0,70.0,0.056713181856630476
10.0,75.0,0.006073557480384113
10.0,80.0,0.0
10.0,85.0,0.0
10.0,90.0,0.0
15.0,0.0,0.9253905253365374
15.0,5.0,0.8997765205766833
15.0,10.0,0.8673703475266646
15.0,15.0,0.8283437298515786
15.0,20.0,0.7828776104141969
15.0,25.0,0.7311690867019688
15.0,30.0,0.673440221329101
15.0,35.0,0.6099514912691897
15.0,40.0,0.5410234719455179
15.0,45.0,0.46707664494199497
15.0,50.0,0.3887091676333184
15.0,55.0,0.3068564545928559
15.0,60.0,0.22311550475742054
15.0,65.0,0.1401755751817791
15.0,70.0,0.06197824705800503
15.0,75.0,0.00781421481164513
15.0,80.0,0.0
15.0,85.0,0.0
15.0,90.0,0.0
20.0,0.0,0.9084646192512589
20.0,5.0,0.8842975909838509
20.0,10.0,0.8537968216390902
20.0,15.0,0.8170716830427611
20.0,20.0,0.7742249566774869
20.0,25.0,0.7253619802773793
20.0,30.0,0.6706025502924329
20.0,35.0,0.6100967203581755
20.0,40.0,0.5440483327255362
20.0,45.0,0.4727534137507403
20.0,50.0,0.3966696408134065
20.0,55.0,0.3165553854578527
20.0,60.0,0.23376027261651866
20.0,65.0,0.15039664358590218
20.0,70.0,0.06974061220704479
20.0,75.0,0.010562034745817456
20.0,80.0,0.0
20.0,85.0,0.0
20.0,90.0,0.0
25.0,0.0,0.9068346058402391
25.0,5.0,0.8835788231797208
25.0,10.0,0.8544280506206998
25.0,15.0,0.8194245761043233
25.0,20.0,0.7785855167447456
25.0,25.0,0.7319138540811575
25.0,30.0,0.6794123398047627
25.0,35.0,0.6211017852753734
25.0,40.0,0.557046294012838
25.0,45.0,0.4873910588065941
25.0,50.0,0.4124259455838574
25.0,55.0,0.33270761520152964
25.0,60.0,0.24931928257814676
25.0,65.0,0.1640007382037896
25.0,70.0,0.08038694207377307
25.0,75.0,0.014781413065699866
25.0,80.0,0.0
25.0,85.0,0.0
25.0,90.0,0.0
30.0,0.0,0.9028896158612809
30.0,5.0,0.880748108811544
30.0,10.0,0.8532289492804671
30.0,15.0,0.820304288458783
30.0,20.0,0.7819007049499714
