theta_t,theta_l,eta
0.0,0.0,0.9470284643851385
0.0,5.0,0.9195303395670441
0.0,10.0,0.8846060550146086
0.0,15.0,0.8425219985704161
0.0,20.0,0.7935768391940247
0.0,25.0,0.7381034400499076
0.0,30.0,0.6764724913435537
0.0,35.0,0.6091016477010891
0.0,40.0,0.5364758984729102
0.0,45.0,0.45919132902988696
0.0,50.0,0.3780465426749742
0.0,55.0,0.2942288656270002
0.0,60.0,0.20966825399991193
0.0,65.0,0.12753145110151298
0.0,70.0,0.05267416767439638
0.0,75.0,0.004944221926318197
0.0,80.0,0.0
0.0,85.0,0.0
0.0,90.0,0.0
5.0,0.0,0.9221823401576866
5.0,5.0,0.8959289790380459
5.0,10.0,0.8624978996821359
5.0,15.0,0.8221333227248736
5.0,20.0,0.7751078092005897
5.0,25.0,0.7217246782328002
5.0,30.0,0.6623222986033329
5.0,35.0,0.5972835193450883
5.0,40.0,0.5270558181168772
5.0,45.0,0.4521937184146503
5.0,50.0,0.3734464894554999
5.0,55.0,0.29193630252234465
5.0,60.0,0.20949854638381368
5.0,65.0,0.12891033912450728
5.0,70.0,0.053666551920293314
5.0,75.0,0.005211140073773858
5.0,80.0,0.0
5.0,85.0,0.0
5.0,90.0,0.0
10.0,0.0,0.9276880713897082
10.0,5.0,0.9014913210479462
10.0,10.0,0.8682322236611347
10.0,15.0,0.8281285528926875
10.0,20.0,0.7814193712195053
10.0,25.0,0.7283692565645964
10.0,30.0,0.6692744421364288
10.0,35.0,0.6044736663140903
10.0,40.0,0.5343687661302365
10.0,45.0,0.45946561609262154
10.0,50.0,0.38045754146877275
10.0,55.0,0.29839661051222066
10.0,60.0,0.21503132494799487
10.0,65.0,0.1330800099643122
10.0,70.0,0.056712676953653354
10.0,75.0,0.0060735308004358
10.0,80.0,0.0
10.0,85.0,0.0
10.0,90.0,0.0
15.0,0.0,0.9253798197978518
15.0,5.0,0.8997658476195268
15.0,10.0,0.8673594910420284
15.0,15.0,0.8283325849819375
15.0,20.0,0.7828662800581889
15.0,25.0,0.7311578336340742
15.0,30.0,0.6734295161265557
15.0,35.0,0.6099418581850357
15.0,40.0,0.5410155162791304
15.0,45.0,0.4670709904006569
15.0,50.0,0.38870629535695683
15.0,55.0,0.30685618219200844
15.0,60.0,0.22311610703347076
15.0,65.0,0.14017332454963663
15.0,70.0,0.06197738360539465
15.0,75.0,0.007813971407703367
15.0,80.0,0.0
15.0,85.0,0.0
15.0,90.0,0.0
20.0,0.0,0.9084407580962367
20.0,5.0,0.8842744097449251
20.0,10.0,0.853774380333206
20.0,15.0,0.8170500386669837
20.0,20.0,0.7742041351335857
20.0,25.0,0.7253420416040169
20.0,30.0,0.6705835340051096
20.0,35.0,0.6100787557161519
20.0,40.0,0.5440316512842104
20.0,45.0,0.47273827944101193
20.0,50.0,0.396656417615224
20.0,55.0,0.3165445484552951
20.0,60.0,0.2337525555163485
20.0,65.0,0.1503928473597599
20.0,70.0,0.06973921807053397
20.0,75.0,0.010561789203816854
20.0,80.0,0.0
20.0,85.0,0.0
20.0,90.0,0.0
25.0,0.0,0.9066781137020667
25.0,5.0,0.8834269917951069
25.0,10.0,0.854282180043033
25.0,15.0,0.8192859306137571
25.0,20.0,0.7784553058217873
25.0,25.0,0.7317931767888993
25.0,30.0,0.6793021658199119
25.0,35.0,0.621002930413421
25.0,40.0,0.5569593497433406
25.0,45.0,0.487316334682019
25.0,50.0,0.4123635565884501
25.0,55.0,0.3326577358721967
25.0,60.0,0.24928273119554517
25.0,65.0,0.1639804051013273
25.0,70.0,0.08038109362909247
25.0,75.0,0.014781024172090877
25.0,80.0,0.0
25.0,85.0,0.0
25.0,90.0,0.0
30.0,0.0,0.9021468093303441
30.0,5.0,0.8800309112177915
30.0,10.0,0.8525427417328129
30.0,15.0,0.8196542887904013
30.0,20.0,0.7812921041059925
30.0,25.0,0.7373487121992075
30.0,30.0,0.6876974411303914
30.0,35.0,0.6322121608226348
30.0,40.0,0.570794441174769
30.0,45.0,0.5034127726420824
30.0,50.0,0.43016426357500614
30.0,55.0,0.3513842441727596
30.0,60.0,0.2678703906501029
30.0,65.0,0.18122036110075754
30.0,70.0,0.09439105643997169
30.0,75.0,0.02118141567600309
30.0,80.0,0.0
30.0,85.0,0.0
30.0,90.0,0.0
35.0,0.0,0.8793527763753473
35.0,5.0,0.8593183512028484
35.0,10.0,0.8346000424834753
35.0,15.0,0.8051014618720207
35.0,20.0,0.7706616541391583
35.0,25.0,0.7310642617089882
35.0,30.0,0.686049938655629
35.0,35.0,0.6353338035923131
35.0,40.0,0.5786306033560239
35.0,45.0,0.5156917588736882
35.0,50.0,0.4463621839706024
35.0,55.0,0.3706752220346053
35.0,60.0,0.2890355624366328
35.0,65.0,0.2024231051518539
35.0,70.0,0.11233246246516482
35.0,75.0,0.030702858061826547
35.0,80.0,0.0
35.0,85.0,0.0
35.0,90.0,0.0
40.0,0.0,0.8637811696028854
40.0,5.0,0.8455779836921512
40.0,10.0,0.8233572423133757
40.0,15.0,0.7969646556388322
40.0,20.0,0.7661644047347376
40.0,25.0,0.730644352567794
40.0,30.0,0.6900236701982295
40.0,35.0,0.6438651589366859
40.0,40.0,0.5916953743914811
40.0,45.0,0.5330373912419751
40.0,50.0,0.46746357214327655
40.0,55.0,0.3946825443467768
40.0,60.0,0.3146957661069304
40.0,65.0,0.22788356628208184
40.0,70.0,0.13480005777824644
40.0,75.0,0.04458194436412964
40.0,80.0,0.0
40.0,85.0,0.0
40.0,90.0,0.0
45.0,0.0,0.8476515433184255
45.0,5.0,0.8313271591093888
45.0,10.0,0.8116633765000651
45.0,15.0,0.7884615139272431
45.0,20.0,0.761428523023346
45.0,25.0,0.7301767279568929
45.0,30.0,0.6942242304046455
45.0,35.0,0.6529983354868818
45.0,40.0,0.6058456951152397
45.0,45.0,0.5520549267199417
45.0,50.0,0.49090049785207424
45.0,55.0,0.42172218355889374
45.0,60.0,0.3440678175540198
45.0,65.0,0.2577334359013789
45.0,70.0,0.1622975643419591
45.0,75.0,0.06462371321745049
45.0,80.0,0.00036527890097903375
45.0,85.0,0.0
45.0,90.0,0.0
50.0,0.0,0.8136830729180785
50.0,5.0,0.7993458422995952
50.0,10.0,0.7823965641691181
50.0,15.0,0.7626110716047226
50.0,20.0,0.7396656946077116
50.0,25.0,0.7131312104582832
50.0,30.0,0.6824649024857079
50.0,35.0,0.6470026399369244
50.0,40.0,0.6059542702725065
50.0,45.0,0.5584083722393028
50.0,50.0,0.5033569636928933
50.0,55.0,0.43975784262359713
50.0,60.0,0.36666481087871944
50.0,65.0,0.2834808622993552
50.0,70.0,0.1899483671019628
50.0,75.0,0.08956929336597688
50.0,80.0,0.005992908018744471
50.0,85.0,0.0
50.0,90.0,0.0
55.0,0.0,0.7504359476452678
55.0,5.0,0.7387420039778065
55.0,10.0,0.7251835297404129
55.0,15.0,0.7095391056510728
55.0,20.0,0.6914931976777853
55.0,25.0,0.670625249547232
55.0,30.0,0.6463944577139213
55.0,35.0,0.6181204376187155
55.0,40.0,0.5849614016645147
55.0,45.0,0.5458937662806543
55.0,50.0,0.49970248276317586
55.0,55.0,0.44500066238549074
55.0,60.0,0.38031359664138614
55.0,65.0,0.30429123710847295
55.0,70.0,0.21618513341691023
55.0,75.0,0.1170557708377689
55.0,80.0,0.018855534428444252
55.0,85.0,0.0
55.0,90.0,0.0
60.0,0.0,0.6690109826755406
60.0,5.0,0.6601146512000114
60.0,10.0,0.6500253762211878
60.0,15.0,0.6385473628822317
60.0,20.0,0.625404233111335
60.0,25.0,0.6102259287569195
60.0,30.0,0.5925295044198768
60.0,35.0,0.5716924612732115
60.0,40.0,0.5469174030818709
60.0,45.0,0.5171878750687743
60.0,50.0,0.481219050239847
60.0,55.0,0.4374159050572252
60.0,60.0,0.38387193077107107
60.0,65.0,0.31848043176399143
60.0,70.0,0.23930287498931913
60.0,75.0,0.14552098818956324
60.0,80.0,0.04034439381690622
60.0,85.0,0.0
60.0,90.0,0.0
65.0,0.0,0.5753658853169632
65.0,5.0,0.5690940446649955
65.0,10.0,0.5621658834529204
65.0,15.0,0.5544264068677826
65.0,20.0,0.5456587241955273
65.0,25.0,0.5355717862807682
65.0,30.0,0.5237818271145548
65.0,35.0,0.5097849513489199
65.0,40.0,0.49291717157395126
65.0,45.0,0.47229726146575846
65.0,50.0,0.44674744156351864
65.0,55.0,0.4146905503789017
65.0,60.0,0.37403675383540014
65.0,65.0,0.32211505042916483
65.0,70.0,0.25580628954702533
65.0,75.0,0.17224116389496483
65.0,80.0,0.07099087390539269
