theta_t,theta_l,eta
0.0,0.0,0.9470280009844666
0.0,5.0,0.9195298985235977
0.0,10.0,0.8846056425982644
0.0,15.0,0.8425216190853992
0.0,20.0,0.7935764970343853
0.0,25.0,0.7381031396695712
0.0,30.0,0.6764722329737195
0.0,35.0,0.6091014331737878
0.0,40.0,0.5364757281966771
0.0,45.0,0.45919120148776527
0.0,50.0,0.37804645530403996
0.0,55.0,0.29422881450622174
0.0,60.0,0.2096682329537573
0.0,65.0,0.12753145023484375
0.0,70.0,0.05267416736215925
0.0,75.0,0.004944221750154202
0.0,80.0,0.0
0.0,85.0,0.0
0.0,90.0,0.0
5.0,0.0,0.9221823449974157
5.0,5.0,0.8959289834638442
5.0,10.0,0.8624979039645498
5.0,15.0,0.8221333277520592
5.0,20.0,0.7751078149220266
5.0,25.0,0.7217246856384923
5.0,30.0,0.6623223063344552
5.0,35.0,0.5972835287568364
5.0,40.0,0.5270558291827918
5.0,45.0,0.4521937310045478
5.0,50.0,0.3734465031179663
5.0,55.0,0.2919363154522493
5.0,60.0,0.20949855495780673
5.0,65.0,0.12891033801289864
5.0,70.0,0.05366655135070401
5.0,75.0,0.00521113986908393
5.0,80.0,0.0
5.0,85.0,0.0
5.0,90.0,0.0
10.0,0.0,0.927688072284509
10.0,5.0,0.9014913245165271
10.0,10.0,0.8682322271664485
10.0,15.0,0.82812855637171
10.0,20.0,0.7814193754449934
10.0,25.0,0.7283692624187815
10.0,30.0,0.669274448732608
10.0,35.0,0.6044736734369336
10.0,40.0,0.5343687726625098
10.0,45.0,0.45946562326767193
10.0,50.0,0.38045754761277983
10.0,55.0,0.29839661444117255
10.0,60.0,0.2150313256798313
10.0,65.0,0.13308000831362507
10.0,70.0,0.0567126763172746
10.0,75.0,0.006073530582065997
10.0,80.0,0.0
10.0,85.0,0.0
10.0,90.0,0.0
15.0,0.0,0.9253798016160408
15.0,5.0,0.8997658295404654
15.0,10.0,0.867359475354809
15.0,15.0,0.8283325680632943
15.0,20.0,0.7828662641050123
15.0,25.0,0.7311578178937549
15.0,30.0,0.6734295023513123
15.0,35.0,0.6099418448134322
15.0,40.0,0.5410155048643533
15.0,45.0,0.4670709796890026
15.0,50.0,0.3887062865110131
15.0,55.0,0.3068561754042602
15.0,60.0,0.22311610230846077
15.0,65.0,0.14017332156253082
15.0,70.0,0.061977382560187456
15.0,75.0,0.007813971168590245
15.0,80.0,0.0
15.0,85.0,0.0
15.0,90.0,0.0
20.0,0.0,0.9084394852943681
20.0,5.0,0.8842731735763745
20.0,10.0,0.8537731789718812
20.0,15.0,0.817048874700935
20.0,20.0,0.7742030056664512
20.0,25.0,0.7253409571868742
20.0,30.0,0.6705825076106179
20.0,35.0,0.6100777939519744
20.0,40.0,0.5440307725705008
20.0,45.0,0.4727375051095848
20.0,50.0,0.396655768595773
20.0,55.0,0.31654404563702615
20.0,60.0,0.23375221110289984
20.0,65.0,0.1503926600209276
20.0,70.0,0.06973918117528524
20.0,75.0,0.010561789547777275
20.0,80.0,0.0
20.0,85.0,0.0
20.0,90.0,0.0
25.0,0.0,0.9066260003612852
25.0,5.0,0.8833765906642763
25.0,10.0,0.8542339403273953
25.0,15.0,0.8192402866441294
25.0,20.0,0.7784126772091674
25.0,25.0,0.731753958699228
25.0,30.0,0.6792667343828878
25.0,35.0,0.6209716215664987
25.0,40.0,0.5569324480928096
25.0,45.0,0.48729405316099694
25.0,50.0,0.41234600406529004
25.0,55.0,0.33264488038233564
25.0,60.0,0.24927435410683374
25.0,65.0,0.16397605697090992
25.0,70.0,0.08038005920912879
25.0,75.0,0.014781023630362548
25.0,80.0,0.0
25.0,85.0,0.0
25.0,90.0,0.0
30.0,0.0,0.9020767949612761
30.0,5.0,0.8799630449095677
30.0,10.0,0.8524774947140983
30.0,15.0,0.8195921314409427
30.0,20.0,0.781233508704357
30.0,25.0,0.7372941580085767
30.0,30.0,0.6876474102132074
30.0,35.0,0.6321671412755303
30.0,40.0,0.5707549030753137
30.0,45.0,0.5033791579161782
30.0,50.0,0.4301369508599584
30.0,55.0,0.35136348040073045
30.0,60.0,0.26785621493228007
30.0,65.0,0.18121246787785764
30.0,70.0,0.09438865449955881
30.0,75.0,0.021181415210001386
30.0,80.0,0.0
30.0,85.0,0.0
30.0,90.0,0.0
35.0,0.0,0.8792827797074378
35.0,5.0,0.8592503597381816
35.0,10.0,0.8345344661030225
35.0,15.0,0.8050387149651512
35.0,20.0,0.7706021612716365
35.0,25.0,0.7310084675109144
35.0,30.0,0.6859983072976419
35.0,35.0,0.6352868190832102
35.0,40.0,0.5785887622977355
35.0,45.0,0.5156555535836858
35.0,50.0,0.44633209229766924
35.0,55.0,0.37065164782767873
35.0,60.0,0.2890187664615802
35.0,65.0,0.20241307176647
35.0,70.0,0.11232871911929654
35.0,75.0,0.03070285589059533
35.0,80.0,0.0
35.0,85.0,0.0
35.0,90.0,0.0
40.0,0.0,0.86371049815751
40.0,5.0,0.8455091928459801
40.0,10.0,0.8232906744733015
40.0,15.0,0.7969006782869504
40.0,20.0,0.7661034016160065
40.0,25.0,0.7305867333217549
40.0,30.0,0.6899698889316386
40.0,35.0,0.6438156962669555
40.0,40.0,0.5916507559356046
40.0,45.0,0.5329981722584012
40.0,50.0,0.46743031789506284
40.0,55.0,0.3946558018913919
40.0,60.0,0.31467599269044
40.0,65.0,0.2278710077043516
40.0,70.0,0.13479454166086857
40.0,75.0,0.04458193970739222
40.0,80.0,0.0
40.0,85.0,0.0
40.0,90.0,0.0
45.0,0.0,0.8474870726488046
45.0,5.0,0.8311658308419367
45.0,10.0,0.8115058430217101
45.0,15.0,0.7883084722318717
45.0,20.0,0.7612807369759755
45.0,25.0,0.7300350401884895
45.0,30.0,0.6940895966884468
45.0,35.0,0.6528718338571278
45.0,40.0,0.6057285311879119
45.0,45.0,0.551948433879405
45.0,50.0,0.4908061312799677
45.0,55.0,0.4216414677578397
45.0,60.0,0.34400227579783343
45.0,65.0,0.2576860413274982
45.0,70.0,0.1622720297075727
45.0,75.0,0.06461935419686979
45.0,80.0,0.000365279283185383
45.0,85.0,0.0
45.0,90.0,0.0
50.0,0.0,0.8131526952172459
50.0,5.0,0.7988257736400806
50.0,10.0,0.7818885073148446
50.0,15.0,0.7621168703460659
50.0,20.0,0.7391874305453636
50.0,25.0,0.7126712473104041
50.0,30.0,0.6820259700172431
50.0,35.0,0.6465879137076949
50.0,40.0,0.6055674497170562
50.0,45.0,0.558053760553429
50.0,50.0,0.5030395157080163
50.0,55.0,0.43948317521079744
50.0,60.0,0.3664391128769927
50.0,65.0,0.2833106012708851
50.0,70.0,0.18983956068703015
50.0,75.0,0.08952553047521287
50.0,80.0,0.00599277793382755
50.0,85.0,0.0
50.0,90.0,0.0
55.0,0.0,0.7497727683055618
55.0,5.0,0.7380900275813113
55.0,10.0,0.7245444305715792
55.0,15.0,0.7089147522634585
55.0,20.0,0.6908857333444933
55.0,25.0,0.6700372192735613
55.0,30.0,0.6458288596948606
55.0,35.0,0.6175808915783659
55.0,40.0,0.5844522537921004
55.0,45.0,0.5454202658689465
55.0,50.0,0.49927093518144317
55.0,55.0,0.4446185905142116
55.0,60.0,0.3799898151452034
55.0,65.0,0.30403576364799095
55.0,70.0,0.21600865079896114
55.0,75.0,0.11696782110649849
55.0,80.0,0.018848217230002018
55.0,85.0,0.0
55.0,90.0,0.0
60.0,0.0,0.6683476773161864
60.0,5.0,0.6594609387156389
60.0,10.0,0.6493823921374663
60.0,15.0,0.6379164592410986
60.0,20.0,0.6247870493834025
60.0,25.0,0.6096244943882588
60.0,30.0,0.5919463523955196
60.0,35.0,0.5711307716484217
60.0,40.0,0.5463811677530684
60.0,45.0,0.5166821324017989
60.0,50.0,0.48075013476725204
60.0,55.0,0.43699176753386093
60.0,60.0,0.3835024257630219
60.0,65.0,0.31817750273561446
60.0,70.0,0.2390803218197589
60.0,75.0,0.14539314593777874
60.0,80.0,0.040318217259890564
60.0,85.0,0.0
60.0,90.0,0.0
65.0,0.0,0.5745722218211284
65.0,5.0,0.5683103514795135
65.0,10.0,0.5613931038265477
65.0,15.0,0.5536657172956045
65.0,20.0,0.5449116124447609
65.0,25.0,0.5348401620163182
65.0,30.0,0.5230681556357503
65.0,35.0,0.5090924018923055
65.0,40.0,0.4922498536558787
65.0,45.0,0.47166050952433997
65.0,50.0,0.44614822286520855
65.0,55.0,0.41413799636776577
65.0,60.0,0.373542856794193
65.0,65.0,0.32169543700517195
65.0,70.0,0.2554808239780999
65.0,75.0,0.17203359495361528
65.0,80.0,0.07092519867369732
65.0,85.0,0.0
65.0,90.0,0.0
70.0,0.0,0.47088476743313507
70.0,5.0,0.4669464545223941
70.0,10.0,0.46274050525607474
70.0,15.0,0.45815887638766284
70.0,20.0,0.45305139786558146
70.0,25.0,0.4472167695105624
70.0,30.0,0.44038854911280934
70.0,35.0,0.432213459517601
70.0,40.0,0.4222175264034622
70.0,45.0,0.4097528083336347
70.0,50.0,0.3939132451919612
70.0,55.0,0.37340306352864355
70.0,60.0,0.3463380677980701
70.0,65.0,0.309974290600222
70.0,70.0,0.2604392325107636
70.0,75.0,0.1928251893780532
70.0,80.0,0.10273486818087588
70.0,85.0,0.00040027573138485574
70.0,90.0,0.0
75.0,0.0,0.36087185180690856
75.0,5.0,0.3588296099227141
75.0,10.0,0.356757058752559
75.0,15.0,0.3545901327033198
75.0,20.0,0.3522397265743474
75.0,25.0,0.34958681897990623
75.0,30.0,0.34647478391569103
75.0,35.0,0.3426969871391509
75.0,40.0,0.3379762122699143
75.0,45.0,0.33192958978849546
75.0,50.0,0.32400731599368493
75.0,55.0,0.31338350464757686
75.0,60.0,0.2987591350832064
75.0,65.0,0.27800660911550973
75.0,70.0,0.24755449429999385
75.0,75.0,0.20150024103172579
75.0,80.0,0.13127052357093763
75.0,85.0,0.02446320980672801
75.0,90.0,0.0
80.0,0.0,0.24635465298271916
80.0,5.0,0.2457136143562794
80.0,10.0,0.24515813476459736
80.0,15.0,0.24465945172600714
80.0,20.0,0.2441762618136143
