theta_t,theta_l,eta
0.0,0.0,0.9470287161621139
0.0,5.0,0.9195305788541576
0.0,10.0,0.8846062800512005
0.0,15.0,0.8425222046674811
0.0,20.0,0.7935770251182713
0.0,25.0,0.7381036052048818
0.0,30.0,0.6764726319030859
0.0,35.0,0.6091017633351231
0.0,40.0,0.5364759905852416
0.0,45.0,0.4591913974912611
0.0,50.0,0.3780465889343412
0.0,55.0,0.2942288920579982
0.0,60.0,0.20966826413882905
0.0,65.0,0.12753145162888743
0.0,70.0,0.05267416810790364
0.0,75.0,0.004944222021967741
0.0,80.0,0.0
0.0,85.0,0.0
0.0,90.0,0.0
5.0,0.0,0.9221823343023093
5.0,5.0,0.8959289725533763
5.0,10.0,0.8624978939576318
5.0,15.0,0.8221333179485788
5.0,20.0,0.7751078064823334
5.0,25.0,0.7217246765987468
5.0,30.0,0.66232229519739
5.0,35.0,0.5972835174238221
5.0,40.0,0.5270558168633155
5.0,45.0,0.45219371770404115
5.0,50.0,0.37344649064218705
5.0,55.0,0.29190954107587397
5.0,60.0,0.20948628746798895
5.0,65.0,0.12891033981397215
5.0,70.0,0.053666551558627776
5.0,75.0,0.005211140303622482
5.0,80.0,0.0
5.0,85.0,0.0
5.0,90.0,0.0
10.0,0.0,0.927688068772351
10.0,5.0,0.9014913207140502
10.0,10.0,0.8682322218597877
10.0,15.0,0.8281285521066545
10.0,20.0,0.7814193678190391
10.0,25.0,0.7283692539241508
10.0,30.0,0.6692744396722643
10.0,35.0,0.6044736628230768
10.0,40.0,0.5343687645265898
10.0,45.0,0.4594656159323433
10.0,50.0,0.38045754311434055
10.0,55.0,0.2983966151196972
10.0,60.0,0.21503132987747456
10.0,65.0,0.13308001108554382
10.0,70.0,0.05671267748336986
10.0,75.0,0.006073530676303595
10.0,80.0,0.0
10.0,85.0,0.0
10.0,90.0,0.0
15.0,0.0,0.9253798286456466
15.0,5.0,0.8997658541127954
15.0,10.0,0.867359496700669
15.0,15.0,0.828332591098823
15.0,20.0,0.7828662869303853
15.0,25.0,0.7311578417452759
15.0,30.0,0.6734295228275733
15.0,35.0,0.6099418611176504
15.0,40.0,0.5410155200188546
15.0,45.0,0.46707099010113934
15.0,50.0,0.38870629245627014
15.0,55.0,0.3068561768399327
15.0,60.0,0.2231161023023358
15.0,65.0,0.14017332607955496
15.0,70.0,0.06197738418278129
15.0,75.0,0.007813971541622375
15.0,80.0,0.0
15.0,85.0,0.0
15.0,90.0,0.0
20.0,0.0,0.9084407754981122
20.0,5.0,0.8842744290837837
20.0,10.0,0.8537743975039669
20.0,15.0,0.8170500578106678
20.0,20.0,0.7742041522088766
20.0,25.0,0.7253420559835669
20.0,30.0,0.6705835559057975
20.0,35.0,0.610078777849626
20.0,40.0,0.5440316750696099
20.0,45.0,0.4727383034868751
20.0,50.0,0.3966564434201441
20.0,55.0,0.3165445741503649
20.0,60.0,0.2337525741007471
20.0,65.0,0.1503928501505069
20.0,70.0,0.06973921920513096
20.0,75.0,0.010561789474903594
20.0,80.0,0.0
20.0,85.0,0.0
20.0,90.0,0.0
25.0,0.0,0.9066925986875828
25.0,5.0,0.8834409867970701
25.0,10.0,0.8542955250658885
25.0,15.0,0.8192984801783179
25.0,20.0,0.7784669228486351
25.0,25.0,0.731803734815301
25.0,30.0,0.679311560859557
25.0,35.0,0.6210110737530766
25.0,40.0,0.556966184046598
25.0,45.0,0.487321836571254
25.0,50.0,0.4123677481973729
25.0,55.0,0.33266069218707806
25.0,60.0,0.2492845770510034
25.0,65.0,0.1639813163605664
25.0,70.0,0.08038130128572799
25.0,75.0,0.014781024515468113
25.0,80.0,0.0
25.0,85.0,0.0
25.0,90.0,0.0
30.0,0.0,0.9021730093052825
30.0,5.0,0.8800563045535038
30.0,10.0,0.8525671660823839
30.0,15.0,0.819677568644162
30.0,20.0,0.7813140668827684
30.0,25.0,0.7373691786834713
30.0,30.0,0.6877162316341865
30.0,35.0,0.6322290945093025
30.0,40.0,0.5708093325464976
30.0,45.0,0.5034254480986627
30.0,50.0,0.43017457820629385
30.0,55.0,0.3513920880221538
30.0,60.0,0.26787574778515993
30.0,65.0,0.18122334089534012
30.0,70.0,0.09439196260053329
30.0,75.0,0.021181416497021308
30.0,80.0,0.0
30.0,85.0,0.0
30.0,90.0,0.0
35.0,0.0,0.8793780559289842
35.0,5.0,0.8593429026841144
35.0,10.0,0.8346237294378562
35.0,15.0,0.8051241409857642
35.0,20.0,0.7706831680903183
35.0,25.0,0.7310844582396182
35.0,30.0,0.6860686536227412
35.0,35.0,0.6353508690575819
35.0,40.0,0.5786458396525251
35.0,45.0,0.5157049853072353
35.0,50.0,0.44637322586603123
35.0,55.0,0.3706839239165967
35.0,60.0,0.2890418099926402
35.0,65.0,0.20242686498356277
35.0,70.0,0.11233388133141754
35.0,75.0,0.030702858799139345
35.0,80.0,0.0
35.0,85.0,0.0
35.0,90.0,0.0
40.0,0.0,0.8638085947454158
40.0,5.0,0.845604678178881
40.0,10.0,0.8233830819342326
40.0,15.0,0.7969895073066801
40.0,20.0,0.7661881186055203
40.0,25.0,0.7306667827875936
40.0,30.0,0.6900446476449443
40.0,35.0,0.6438845025341894
40.0,40.0,0.5917128883655127
40.0,45.0,0.5330528569504841
40.0,50.0,0.46747675913797654
40.0,55.0,0.39469321294654697
40.0,60.0,0.3147036978978225
40.0,65.0,0.22788862091195342
40.0,70.0,0.13480228168085695
40.0,75.0,0.044581946608816994
40.0,80.0,0.0
40.0,85.0,0.0
40.0,90.0,0.0
45.0,0.0,0.8477114616609815
45.0,5.0,0.8313857163043433
45.0,10.0,0.8117203339890833
45.0,15.0,0.7885166153289236
45.0,20.0,0.7614814905687909
45.0,25.0,0.7302272369035427
45.0,30.0,0.6942719336129821
45.0,35.0,0.6530428270079808
45.0,40.0,0.605886522666514
45.0,45.0,0.5520915994337466
45.0,50.0,0.4909324874101876
45.0,55.0,0.42174895386678996
45.0,60.0,0.34408886795875365
45.0,65.0,0.2577482636658744
45.0,70.0,0.16230576033952618
45.0,75.0,0.06462536624769286
45.0,80.0,0.000365277772169132
45.0,85.0,0.0
45.0,90.0,0.0
50.0,0.0,0.8138694262340026
50.0,5.0,0.7995285666136194
50.0,10.0,0.7825750651238488
50.0,15.0,0.762784687788737
50.0,20.0,0.7398337011385465
50.0,25.0,0.7132927771121204
50.0,30.0,0.6826190712843826
50.0,35.0,0.647148297833605
50.0,40.0,0.6060901224628998
50.0,45.0,0.5585329170208513
50.0,50.0,0.503468464190049
50.0,55.0,0.4398543349792615
50.0,60.0,0.36674412617841123
50.0,65.0,0.2835407256873572
50.0,70.0,0.18998662576507172
50.0,75.0,0.08958457350978918
50.0,80.0,0.005992945129877196
50.0,85.0,0.0
50.0,90.0,0.0
55.0,0.0,0.7506680560881719
55.0,5.0,0.7389701896518703
55.0,10.0,0.7254072184670461
55.0,15.0,0.7097576494128232
55.0,20.0,0.6917058437284116
55.0,25.0,0.6708311197034583
55.0,30.0,0.646592492266817
55.0,35.0,0.6183093748013252
55.0,40.0,0.585139706795271
55.0,45.0,0.5460595980306145
55.0,50.0,0.49985362142898326
55.0,55.0,0.4451344603779911
55.0,60.0,0.3804269479568876
55.0,65.0,0.30438060830595143
55.0,70.0,0.2162467585813181
55.0,75.0,0.11708635971525391
55.0,80.0,0.018858111593851444
55.0,85.0,0.0
55.0,90.0,0.0
60.0,0.0,0.6693419587846017
60.0,5.0,0.6604406551872429
60.0,10.0,0.6503457976722907
60.0,15.0,0.6388615052451853
60.0,20.0,0.6257112538456513
60.0,25.0,0.610524805271091
60.0,30.0,0.5928189645439507
60.0,35.0,0.5719709287938722
60.0,40.0,0.5471828894740978
60.0,45.0,0.5174378920922564
60.0,50.0,0.4814504434849248
60.0,55.0,0.43762472745821757
60.0,60.0,0.3840532776079076
60.0,65.0,0.318628381273581
60.0,70.0,0.2394106235508738
60.0,75.0,0.1455814982202946
60.0,80.0,0.04035337527207314
60.0,85.0,0.0
60.0,90.0,0.0
65.0,0.0,0.5756501314408491
65.0,5.0,0.5693747496430251
65.0,10.0,0.562442761444113
65.0,15.0,0.5546990941550328
65.0,20.0,0.5459267231142686
65.0,25.0,0.535834459563636
65.0,30.0,0.524038329795471
65.0,35.0,0.5100341546815556
65.0,40.0,0.49315761591120894
65.0,45.0,0.47252700681649873
65.0,50.0,0.44696393669894624
65.0,55.0,0.4148904135438791
65.0,60.0,0.37421552589844326
65.0,65.0,0.32226689769788264
65.0,70.0,0.2559238392971654
65.0,75.0,0.17231577225735759
65.0,80.0,0.07101430048896298
65.0,85.0,0.0
65.0,90.0,0.0
70.0,0.0,0.471977824549752
70.0,5.0,0.4680280844965864
70.0,10.0,0.4638100093614082
70.0,15.0,0.4592152597521745
70.0,20.0,0.45409329352409317
70.0,25.0,0.44824230808384813
70.0,30.0,0.44139521349265426
70.0,35.0,0.4331978648915618
70.0,40.0,0.42317515201782635
70.0,45.0,0.41067756919981113
70.0,50.0,0.39479689388966505
70.0,55.0,0.3742342581034721
70.0,60.0,0.3471009936381219
70.0,65.0,0.31064667002696594
70.0,70.0,0.2609897783642824
70.0,75.0,0.19321152985689594
70.0,80.0,0.10290551517368639
70.0,85.0,0.0004002668195032764
70.0,90.0,0.0
75.0,0.0,0.36196230575329985
75.0,5.0,0.3599110667954534
75.0,10.0,0.357829300624548
75.0,15.0,0.3556527077023931
75.0,20.0,0.353291860870996
75.0,25.0,0.35062733694473386
75.0,30.0,0.34750197780930375
75.0,35.0,0.3437084508115379
75.0,40.0,0.3389686184167979
75.0,45.0,0.33289833939520086
75.0,50.0,0.3249460025459685
75.0,55.0,0.3142830371315718
75.0,60.0,0.2996062369515296
75.0,65.0,0.2787812403938957
75.0,70.0,0.24822546217616437
75.0,75.0,0.2020183923965598
75.0,80.0,0.13156168694718276
75.0,85.0,0.024472042328728127
75.0,90.0,0.0
80.0,0.0,0.2474361255509797
80.0,5.0,0.24678854997980398
80.0,10.0,0.24622655675403599
80.0,15.0,0.24572119188023134
80.0,20.0,0.2452309179166904
80.0,25.0,0.24470012572679015
80.0,30.0,0.24405689066503464
80.0,35.0,0.2432091742279258
80.0,40.0,0.2420379104514341
80.0,45.0,0.2403838105944213
80.0,50.0,0.238021294004805
80.0,55.0,0.23460590053460084
80.0,60.0,0.2295656920629038
80.0,65.0,0.22186753792182465
80.0,70.0,0.20948537406866877
80.0,75.0,0.1881274000086986
80.0,80.0,0.14831310978459658
80.0,85.0,0.07199576015888044
80.0,90.0,0.0
85.0,0.0,0.13175509970083246
85.0,5.0,0.13196187321838745
85.0,10.0,0.13227054025086277
85.0,15.0,0.13267636295975707
85.0,20.0,0.13316999439911897
85.0,25.0,0.13373776548808824
85.0,30.0,0.13436218573871023
85.0,35.0,0.13502281762108587
85.0,40.0,0.13569745439302972
85.0,45.0,0.13636321444793245
85.0,50.0,0.13699644280436526
85.0,55.0,0.1375692657357314
85.0,60.0,0.1380383980601213
85.0,65.0,0.13831534957406497
85.0,70.0,0.1381813110327927
85.0,75.0,0.13698923447733835
85.0,80.0,0.13230530607035682
85.0,85.0,0.11166313113981585
85.0,90.0,0.0
90.0,0.0,0.0
90.0,5.0,0.0
90.0,10.0,0.0
90.0,15.0,0.0
90.0,20.0,0.0
90.0,25.0,0.0
90.0,30.0,0.0
90.0,35.0,0.0
90.0,40.0,0.0
